#L TT           EE
207 3.180568E-02 6.326448E-02
208 3.258821E-02 6.410278E-02
209 3.243866E-02 6.523661E-02
210 3.312536E-02 6.590752E-02
211 3.323433E-02 6.743414E-02
212 3.395186E-02 6.799044E-02
213 3.425455E-02 6.921797E-02
214 3.462485E-02 6.863565E-02
215 3.482555E-02 6.986404E-02
216 3.513796E-02 7.040323E-02
217 3.560034E-02 7.142106E-02
218 3.600502E-02 7.201731E-02
219 3.657443E-02 7.276808E-02
220 3.701539E-02 7.346340E-02
221 3.734329E-02 7.438697E-02
222 3.784720E-02 7.537866E-02
223 3.828247E-02 7.621972E-02
224 3.841939E-02 7.679602E-02
225 3.912402E-02 7.779008E-02
226 3.940847E-02 7.924745E-02
227 3.988097E-02 7.988425E-02
228 4.053135E-02 8.083504E-02
229 4.048995E-02 8.034942E-02
230 4.144478E-02 8.205346E-02
231 4.166860E-02 8.270676E-02
232 4.203873E-02 8.390587E-02
233 4.226622E-02 8.384324E-02
234 4.296267E-02 8.513434E-02
235 4.322646E-02 8.591024E-02
236 4.373630E-02 8.748945E-02
237 4.465341E-02 8.916790E-02
238 4.478759E-02 8.906183E-02
239 4.492157E-02 8.983152E-02
240 4.565834E-02 9.132173E-02
241 4.621393E-02 9.243601E-02
242 4.639965E-02 9.380564E-02
243 4.754375E-02 9.429200E-02
244 4.821072E-02 9.563140E-02
245 4.808484E-02 9.672799E-02
246 4.856410E-02 9.694063E-02
247 4.903188E-02 9.819112E-02
248 4.994196E-02 9.959644E-02
249 4.992521E-02 9.970667E-02
250 5.059792E-02 1.018073E-01
251 5.088368E-02 1.028205E-01
252 5.145167E-02 1.035134E-01
253 5.185402E-02 1.047747E-01
254 5.267131E-02 1.046976E-01
255 5.325884E-02 1.071794E-01
256 5.368086E-02 1.074470E-01
257 5.375135E-02 1.081884E-01
258 5.496924E-02 1.096591E-01
259 5.607825E-02 1.112258E-01
260 5.583451E-02 1.122660E-01
261 5.650103E-02 1.132000E-01
262 5.660320E-02 1.141675E-01
263 5.798782E-02 1.157549E-01
264 5.806853E-02 1.170798E-01
265 5.876353E-02 1.175894E-01
266 5.926730E-02 1.192444E-01
267 5.952863E-02 1.204921E-01
268 6.031668E-02 1.208878E-01
269 6.137719E-02 1.226239E-01
270 6.171612E-02 1.241790E-01
271 6.187395E-02 1.249356E-01
272 6.286253E-02 1.261363E-01
273 6.383519E-02 1.272006E-01
274 6.427118E-02 1.280562E-01
275 6.474611E-02 1.297387E-01
276 6.541277E-02 1.306251E-01
277 6.582527E-02 1.312435E-01
278 6.634087E-02 1.330837E-01
279 6.729009E-02 1.346303E-01
280 6.769698E-02 1.343807E-01
281 6.886031E-02 1.370543E-01
282 6.877638E-02 1.377696E-01
283 7.000155E-02 1.395353E-01
284 7.035550E-02 1.409477E-01
285 7.050688E-02 1.418814E-01
286 7.180287E-02 1.436616E-01
287 7.254549E-02 1.439619E-01
288 7.262823E-02 1.463288E-01
289 7.361661E-02 1.475705E-01
290 7.452681E-02 1.490138E-01
291 7.591224E-02 1.499696E-01
292 7.603970E-02 1.525521E-01
293 7.714514E-02 1.530428E-01
294 7.736549E-02 1.546725E-01
295 7.825216E-02 1.557650E-01
296 7.935236E-02 1.559906E-01
297 8.000844E-02 1.588465E-01
298 8.140556E-02 1.603879E-01
299 8.132265E-02 1.622199E-01
300 8.200725E-02 1.629343E-01
301 8.239678E-02 1.655520E-01
302 8.324845E-02 1.659983E-01
303 8.430742E-02 1.679860E-01
304 8.475531E-02 1.693499E-01
305 8.536337E-02 1.708010E-01
306 8.629424E-02 1.720387E-01
307 8.667853E-02 1.749473E-01
308 8.788658E-02 1.748528E-01
309 8.825370E-02 1.774601E-01
310 8.878072E-02 1.772373E-01
311 9.036248E-02 1.798831E-01
312 9.163517E-02 1.815026E-01
313 9.210454E-02 1.837849E-01
314 9.348032E-02 1.839768E-01
315 9.293649E-02 1.840507E-01
316 9.463875E-02 1.875361E-01
317 9.535269E-02 1.902529E-01
318 9.642220E-02 1.917662E-01
319 9.669335E-02 1.934056E-01
320 9.760486E-02 1.959890E-01
321 9.877720E-02 1.966197E-01
322 9.931376E-02 1.990250E-01
323 1.007152E-01 2.019930E-01
324 1.012336E-01 2.027260E-01
325 1.024649E-01 2.046747E-01
326 1.040982E-01 2.067492E-01
327 1.043308E-01 2.078305E-01
328 1.049615E-01 2.100904E-01
329 1.063485E-01 2.131797E-01
330 1.072310E-01 2.141273E-01
331 1.076969E-01 2.162468E-01
332 1.085855E-01 2.175254E-01
333 1.098442E-01 2.175638E-01
334 1.109774E-01 2.208317E-01
335 1.117702E-01 2.234075E-01
336 1.126953E-01 2.248828E-01
337 1.134137E-01 2.254901E-01
338 1.151733E-01 2.289262E-01
339 1.167291E-01 2.300239E-01
340 1.168256E-01 2.315849E-01
341 1.179257E-01 2.345231E-01
342 1.183877E-01 2.375200E-01
343 1.208981E-01 2.388984E-01
344 1.212263E-01 2.420807E-01
